psi_center_deg,A_local,phi0_local_deg,R2_local,n_pts,phase_drift_deg
0,877.3209095943479,87.10383223748437,0.4825528673310404,31,-149.0900232255081
5,1228.9291957485273,90.80006028747204,0.7199469638464546,30,-145.39379517552044
10,940.0079886492963,91.63892774909061,0.668135957358241,31,-144.55492771390186
15,636.227728024932,89.64732742465964,0.5758646022922433,30,-146.54652803833284
20,198.19116616719134,48.03021816558038,0.5279638682097043,31,171.8363627025879
25,401.7441304184949,324.9134038744262,0.634933977056568,30,88.71954841143372
30,678.4271843502552,316.7819761903763,0.7430173720781976,31,80.58812072738385
35,1045.426128048411,314.6661008649112,0.8427729608291304,30,78.47224540191871
40,689.8421239273266,320.2594577699058,0.6651027920868287,31,84.06560230691332
45,109.70373276835959,347.40490893493734,0.3431859648976223,30,111.21105347194487
50,100.04967897820215,114.19919833621407,0.29538621752568883,31,-121.9946571267784
55,241.82211582109872,135.84422686795034,0.37323074067274886,30,-100.34962859504213
60,396.53521224566407,141.7822345952253,0.6758436300750983,31,-94.41162086776717
65,261.80350834892937,134.68678038317182,0.7508445026243783,30,-101.50707507982065
70,95.78431147952394,65.174424403751,0.735431597301967,31,-171.01943105924147
75,241.43627055573631,4.326253822174522,0.6313429724955697,30,128.13239835918205
80,263.1047120123316,3.259020807914112,0.5566375517575395,31,127.06516534492164
85,303.88698949671624,4.175127927881476,0.49889328208776174,30,127.981272464889
90,438.14808711360973,2.4488436149518975,0.5142436542591585,31,126.25498815195942
95,-388.46794390453357,183.58654630207684,0.3913918941612915,30,-52.607309160915634
100,-121.08457602726196,183.65976695525728,0.08462088692391356,31,-52.53408850773519
105,-29.73697956830029,160.29386830438614,0.04993849288015506,30,-75.89998715860634
110,-105.77758034006139,27.023270301983757,0.07106317817381158,31,150.82941483899128
115,-353.05612918105606,27.920454362605824,0.48321052393660024,30,151.72659889961335
120,368.8485224247803,208.98649540607437,0.5212172443991487,31,-27.207360056918105
125,312.80313912904046,207.71263623472794,0.5584108504131711,30,-28.481219228264536
130,98.53645251808216,191.84641110886264,0.41713169878608347,31,-44.347444354129834
135,70.14472334350214,182.0233940110553,0.39946013598117336,30,-54.17046145193717
140,52.78483839188999,125.10648919970316,0.4545856208632375,31,-111.08736626328931
145,166.53385656382804,76.89206043199846,0.6338818840957081,30,-159.30179503099401
150,134.2000785018434,86.50958695258919,0.678434469406014,31,-149.68426851040329
155,173.98480184935562,224.64047475077314,0.6731976343530222,30,-11.553380712219337
160,421.385970026647,235.26413665910138,0.7961651597148117,31,-0.9297188038910917
165,374.40256680696604,237.06411162836196,0.7550369462460786,30,0.8702561653694829
170,173.424891666761,102.84022898989383,0.2555513799915414,31,-133.35362647309864
175,568.131865603237,87.03853882706017,0.23840719867465232,30,-149.1553166359323
180,-877.3209206799227,267.1038322454285,0.48255286733104086,31,30.909976782436047
185,-1228.929198157033,270.80006020631845,0.7199469638464551,30,34.606204743325975
190,-940.0079952616982,271.63892780978085,0.6681359573582414,31,35.44507234678838
195,-636.2277109202563,269.6473271011705,0.5758646022922427,30,33.45347163817803
200,-198.19114777094478,228.03021420081825,0.5279638682097016,31,-8.163641262174224
205,-401.74409601924447,144.91340677447408,0.6349339770565678,30,-91.28044868851839
210,-678.4271924329049,136.7819758757164,0.7430173720781975,31,-99.41187958727608
215,-1045.4261247742359,134.6661008761298,0.8427729608291307,30,-101.52775458686267
220,-689.8421142949203,140.2594578671899,0.6651027920868287,31,-95.93439759580258
225,-109.70371077556791,167.4049164340895,0.3431859648976233,30,-68.78893902890297
230,-100.04969602102946,294.1992022816728,0.29538621752568917,31,58.00534681868032
235,-241.8221329624531,315.8442275867353,0.37323074067274886,30,79.65037212374284
240,-396.5352184483406,321.7822347168436,0.6758436300750981,31,85.58837925385114
245,-261.8035037077915,314.68678003708135,0.7508445026243783,30,78.49292457408887
250,-95.78431253455956,245.17441563540035,0.7354315973019669,31,8.980560172407877
255,-241.4362605219308,184.32625461791258,0.6313429724955699,30,-51.86760084507989
260,-263.1046722802122,183.25902376642762,0.5566375517575426,31,-52.934831696564856
265,-303.88699990523554,184.1751270952359,0.49889328208776296,30,-52.01872836775658
270,-438.14808621169686,182.44884406999586,0.5142436542591593,31,-53.74501139299662
275,388.46796034547117,3.586546364740798,0.3913918941612917,30,127.39269090174832
280,121.0845816623442,3.659767213754094,0.08462088692391367,31,127.46591175076162
285,29.73694642105681,340.2938246250317,0.04993849288016661,30,104.0999691620392
290,105.7775850198416,207.02327010412182,0.07106317817381147,31,-29.170585358870653
295,353.056134863028,207.92045429149596,0.4832105239365999,30,-28.273401171496516
300,-368.84852388795764,28.98649540007034,0.5212172443991483,31,152.79263993707787
305,-312.80314681606677,27.712636308580784,0.5584108504131712,30,151.5187808455883
310,-98.53644760961052,11.84640969404802,0.41713169878608347,31,135.65255423105555
315,-70.14474268045845,2.0234085212560444,0.3994601359811729,30,125.82955305826357
320,-52.78484231270507,305.10647294900264,0.4545856208632383,31,68.91261748601016
325,-166.53386511703684,256.8920592670137,0.6338818840957079,30,20.698203804021205
330,-134.20007403055465,266.5095878576443,0.678434469406014,31,30.315732394651832
335,-173.98478648213478,44.64047293159274,0.6731976343530222,30,168.44661746860027
340,-421.3859709454345,55.2641366958394,0.7961651597148118,31,179.07028123284692
345,-374.4025581909858,57.064111224198484,0.7550369462460789,30,-179.129744238794
350,-173.42489098813104,282.84022927749925,0.25555137999154154,31,46.646373814506774
355,568.131855666713,87.03853882120643,0.2384071986746522,30,-149.15531664178604
