angle_deg,deltaDM
0,-96.6555275325768
2,-135.4774220032839
4,-155.67373737373737
6,-197.08370132476944
8,-197.08370132476944
10,-204.04621848739498
12,-159.9685874349741
14,-139.46233974358984
16,-63.957729468599155
18,-63.957729468599155
20,-42.85869565217422
22,-2.011111111111404
24,-15.038963688290323
26,-15.038963688290323
28,0.7694805194805667
30,43.26067323481129
32,36.57151715584928
34,35.699255890863924
36,29.24589490968765
38,11.154426764586105
40,2.970012239901962
42,-4.555418719211957
44,-16.86378668871407
46,-12.658866995074277
48,-12.658866995074277
50,-12.658866995074277
52,16.100248036378616
54,16.100248036378616
56,16.100248036378616
58,16.100248036378616
60,16.100248036378616
62,19.611247947454785
64,-12.129310344827445
66,-12.051880942538219
68,54.02416981925171
70,39.54456706281849
72,55.655107187894146
74,44.14558573853992
76,37.01437151437153
78,57.484375
80,25.9609375
82,25.9609375
84,65.49780219780246
86,77.5316399286985
88,84.92095588235316
90,84.92095588235316
92,92.0156615240769
94,75.46794560466242
96,75.46794560466242
98,64.91666666666674
100,47.39497716894971
102,41.69386694386685
104,24.70533333333333
106,43.29469854469835
108,54.53855910705215
110,56.710666666666384
112,56.40800415800436
114,56.40800415800436
116,56.40800415800436
118,2.5903094875698116
120,2.5903094875698116
122,10.442460317460245
124,47.70523609163183
126,62.91727941176464
128,62.97872837774662
130,59.71190476190486
132,54.43267882187911
134,54.43267882187911
136,54.43267882187911
138,63.94999999999982
140,63.94999999999982
142,67.89223936418875
144,67.89223936418875
146,67.89223936418875
148,78.60202205882342
150,94.90240641711193
152,94.90240641711193
154,96.44704861111131
156,49.29665379665357
158,67.75683060109282
160,78.19482173174856
162,78.19482173174856
164,78.19482173174856
166,76.86569987389657
168,81.21689303904941
170,90.46385035729281
172,90.46385035729281
174,89.45543293718174
176,101.88881883144177
178,100.0916666666667
180,96.6555275325768
182,135.4774220032839
184,155.67373737373737
186,197.08370132476944
188,197.08370132476944
190,204.04621848739498
192,159.9685874349741
194,139.46233974358984
196,63.957729468599155
198,63.957729468599155
200,42.85869565217422
202,2.011111111111404
204,15.038963688290323
206,15.038963688290323
208,-0.7694805194805667
210,-43.26067323481129
212,-36.57151715584928
214,-35.699255890863924
216,-29.24589490968765
218,-11.154426764586105
220,-2.970012239901962
222,4.555418719211957
224,16.86378668871407
226,12.658866995074277
228,12.658866995074277
230,12.658866995074277
232,-16.100248036378616
234,-16.100248036378616
236,-16.100248036378616
238,-16.100248036378616
240,-16.100248036378616
242,-19.611247947454785
244,12.129310344827445
246,12.051880942538219
248,-54.02416981925171
250,-39.54456706281849
252,-55.655107187894146
254,-44.14558573853992
256,-37.01437151437153
258,-57.484375
260,-25.9609375
262,-25.9609375
264,-65.49780219780246
266,-77.5316399286985
268,-84.92095588235316
270,-84.92095588235316
272,-92.0156615240769
274,-75.46794560466242
276,-75.46794560466242
278,-64.91666666666674
280,-47.39497716894971
282,-41.69386694386685
284,-24.70533333333333
286,-43.29469854469835
288,-54.53855910705215
290,-56.710666666666384
292,-56.40800415800436
294,-56.40800415800436
296,-56.40800415800436
298,-2.5903094875698116
300,-2.5903094875698116
302,-10.442460317460245
304,-47.70523609163183
306,-62.91727941176464
308,-62.97872837774662
310,-59.71190476190486
312,-54.43267882187911
314,-54.43267882187911
316,-54.43267882187911
318,-63.94999999999982
320,-63.94999999999982
322,-67.89223936418875
324,-67.89223936418875
326,-67.89223936418875
328,-78.60202205882342
330,-94.90240641711193
332,-94.90240641711193
334,-96.44704861111131
336,-49.29665379665357
338,-67.75683060109282
340,-78.19482173174856
342,-78.19482173174856
344,-78.19482173174856
346,-76.86569987389657
348,-81.21689303904941
350,-90.46385035729281
352,-90.46385035729281
354,-89.45543293718174
356,-101.88881883144177
358,-100.0916666666667
